ID	tweet	Affect Dimension	Intensity Score
2017-En-11187	some of the casuals tweets that [Name] has faved are making me gag #bitter	anger	0.667
2017-En-10771	one of my favorite classic cars is the plymouth fiery.	anger	0.292
2017-En-10052	@leesyatt you are a cruel,cruel man. #therewillbeblood #revenge	anger	0.840
2017-En-10968	point scorning and fury at labor does nothing to address long term detention and the need to resettle #asylumseekers from #manus and #nauru	anger	0.458
2017-En-11172	@swiftshimada sparkles,proud little huff. still posing mind you.	anger	0.417
2017-En-10755	i wish the next madden has a story mode too. just like fifa 17 #madden	anger	0.312
2017-En-11698	id love 2 c [Name] in action but their coach is holding a grudge against them!	anger	0.542
2017-En-10473	because it was a perfect illusion,but at least now i know what it was. #ladygaga #iscalming #mysoul	anger	0.479
2017-En-10579	@biggkatz but arms ( focused rage ) is overpowered,it will be getting nerfed. it'll still be stronger than fury though	anger	0.468
2017-En-10308	@everycolorbot more like every color looks the same #triggered #colorblind #offended	anger	0.542
2017-En-11008	after what just happened. in need to smoke.	anger	0.479
2017-En-11537	@kailyew [Name] tiff sent me that too 😂	anger	0.208
2017-En-11610	as someone that's struggled w eds since i was 7y / o,i resent [Name] who's making a spectacle of a certain youtuber who has severe anorexia	anger	0.583
2017-En-10151	i can definitely feel my irritation today,lord give me strength	anger	0.667
2017-En-11567	these people irritate tf out of me i swear 🙄 i'm goin to sleep ✌ 🏾 ️	anger	0.729
2017-En-11198	yo gurls dm for a tribute 😜 💦 #snapme #dm #nudes #tribute #cumtribute #cock #cum #swallow	anger	0.479
2017-En-11493	@paulrovla the first resulted in me angrily sobbing and ranting about finnick in the cinema	anger	0.562
2017-En-11500	@politicaltigres @saifullah_uchvi welcome ji. sorry for words that irritate u	anger	0.479
2017-En-10299	@johnaugust @clmazin i was so looking forward to @abcdesignated. then it opened with a #stuartspecial. i literally yelled at my tv.	anger	0.491
2017-En-11581	[Name] gf started singing all star and then [Name] got angry and was all sing it right and started angrily singing it back at their	anger	0.521
2017-En-10821	gameday [Name] buford today at 5:30 at home!!! never been so excited	anger	0.208
2017-En-40505	@tehshockwave turn that grumpy frown upside-down \ n \ nyou did something next to impossible today	anger	0.375
2017-En-11015	@wellermonica hi [Name],i write regularly for @ctysmallholding - but not on bees - never dared try them #buzz #sting #honey	anger	0.375
2017-En-11046	favourite quote of the year so far is by @ameliameech ' i swore at a parsnip ' 😂 #raging	anger	0.292
2017-En-10130	@edquinn63 how can you even forget to pick ur fave child up from school #offended	anger	0.688
2017-En-11667	@strangefacesla why doesn't this account follow me #offended	anger	0.646
2017-En-10655	@rabpeel snap,seems to be a problem here	anger	0.375
2017-En-11206	2 biggest fears: incurable std's and pregnancy... i mean,they're basically the same thing anyway #forlife #annoying #weirdsmells	anger	0.417
2017-En-10041	@thomsoncares [Name] - yes we have! not helpful at all! we need this sorting asap! you keep promising stuff that doesn't happen!!! #fuming	anger	0.771
2017-En-11146	pro tip: go back to work when your kid reaches 20 mos old. stay home any longer,and you'll be absolutely miserable with the.	anger	0.396
2017-En-40228	some moving clips on youtube tonight of the vigil held at tulsa metropolitan baptist church for #terencecruther #justice #anger #sadness	anger	0.500
2017-En-10802	i forgot about this nice area down here with the fiery hearths	anger	0.250
2017-En-10122	@chronavt ummm,the blog says ' with [Name] [Name] faking 7th '... i'll expect an investigation forthwith. this is an #outrage	anger	0.688
2017-En-11101	@who_jn i've been having a quad shot every day and can sleep right after... it's time to detox 😅 i get raging migraines without coffee :/	anger	0.438
2017-En-11423	circle k is dead to me. i hate your new slushie machine. #irate #livid	anger	0.833
2017-En-10892	@pbhushan1 @indianexpress so in your opinion is this the worst delhi govt? #acrid #bitter #hypocrisy	anger	0.708
2017-En-10905	ok scrubbed hands 5 times before trying to put them in. \ neyeballs #burning \ n #evenmoreblind accidentally scared the #cat whilst #screeching	anger	0.604
2017-En-10920	why to have vanity sizes? now sizes s,xs ( evenxxs sometimes ) are too big,wtf?! dear corporate jerks,lithuania didn't need this. #rant	anger	0.518
2017-En-11219	forever raging 😏 😂 😭	anger	0.688
2017-En-10360	@johnaugust @clmazin i was so looking forward to @abcdesignated. then it opened with a #stuartspecial. i literally yelled at my tv. #umbrage	anger	0.521
2017-En-41480	does they really need to pout all the time - getting on my nerves #gbbo	anger	0.646
2017-En-10923	taking umbrage because [Name] [Name] claimed that [Name] [Name] went to mordor on 8 out of 10 cats does countdown. know your [Name] ',mate.	anger	0.375
2017-En-10450	@indigohawthorne then u understand that rage is often not pretty,or controlled or rational - it is often visceral-not always logical.	anger	0.479
2017-En-11417	@mick727xd i know your furious,i am too,but just stop fucking moaning. we didn't win until the 7th game last season and where we finished.	anger	0.729
2017-En-11083	congrats to #nicole #bb18... fix that nose now 😒 💁 🏻 #bitter #petty	anger	0.500
2017-En-11148	me and these [Name] that i pick up off the pitches don't get on at all like 😢 😢	anger	0.438
2017-En-40208	@happyandbashful flirt,simper,pout,repeat. [Name].	anger	0.479
2017-En-10522	since the ' update ' my @iphone loses power nearly 40 % faster.	anger	0.438
2017-En-10600	@marthalyssa yep. lol #bitter	anger	0.417
2017-En-10259	@saclivin @mrscagg specific & intentional way. and part of that intention is to provoke conversation around systemic racism towards blacks.	anger	0.583
2017-En-11412	yeah,no. i [Name] ' mind tweetin ' that twice. #blm #likethat	anger	0.375
2017-En-40987	@ashleighjessica @zacflint1 i'd give that pout the firm d	anger	0.500
2017-En-11451	[Name] has the worst road rage i have ever seen and they gets so mad when i put my hands on their windows lol	anger	0.500
2017-En-10936	@jen_ny69 people will always get offended everyone's situation is different! just because we have kids doesn't mean we have to settle	anger	0.562
2017-En-10100	have wee pop socks on and they keep falling off inside my shoes #rage	anger	0.759
2017-En-11606	@tommyrosen @intheroomsceo @cate_baily always so happy to support you brother. keep that fire burning <3	anger	0.132
2017-En-11312	@katrinadougan_ [Name] went roght in the huff. deleted the episode out of anger n everything ( regret it now )	anger	0.717
2017-En-11523	@cnnnewsroom @brookebcnn what can't you grasp? besides yr cognitive dissonance,raging away. each. incident. re: leo-shooting = separate.	anger	0.750
2017-En-10340	@paulkrugman relentless echo chamber - negative comments with lots of reverb. typical bully behavior.	anger	0.542
2017-En-10049	people irritate my mf soul	anger	0.771
2017-En-11397	another raging storm brought on by my own emotions sorry [Name]. enjoy the thunder	anger	0.667
2017-En-11185	@tedleitner @jesseagler you two are ten times more interesting than those particular afternoon goofballs ( i could say worse ). #umbrage	anger	0.438
2017-En-11375	not going to waste my energy holding a grudge against someone who wasnt even in my life a year xd \ ntime to release those feelings of dislike	anger	0.583
2017-En-10961	[Name] bmth canceled melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad #angry	anger	0.812
2017-En-10826	drop snapchat names #bored #swap #pics	anger	0.188
2017-En-11648	seeing double am so tired but i always grudge getting off my phone at night 🙄	anger	0.479
2017-En-10998	@easyjet hi folks. flight is going to be over an hour late departing from inv ( ezy 864 ),how do we go about getting a refund please? #boiling	anger	0.771
2017-En-10093	your twitter picture just makes me fume.	anger	0.729
2017-En-10697	are you lost in the fury,fearing that you'll fail?	anger	0.354
2017-En-10714	@barackobama i love [Name] [Name] latest rage against wall street.	anger	0.177
2017-En-11299	another l on the board we just cannot match up on paper with these teams at the moment and its showing on the field. onto denver #revenge	anger	0.438
2017-En-11549	@talktalkcare how on earth can i send an email to you? very annoyed customer!!! #fuming	anger	0.750
2017-En-10244	delete this shit [Name] just screenshotted my snap me	anger	0.583
2017-En-11477	people who go the speed limit irritate me	anger	0.667
2017-En-11420	oh yeah squid face [Name] madden 17 xbox 1 come see me	anger	0.250
2017-En-11062	@yannarell @lolgop despite your #outrage fatigue,don't lose your shine	anger	0.417
2017-En-10581	@wbirsports they're still using their offense,up the middle 3x & punt.	anger	0.417
2017-En-10161	@slippus @puregym yeah i received a fine today which i am furious about,currently appealing it after being a member for so long...	anger	0.646
2017-En-11251	all the young people are so bitter about how the older contestants probably know how to make bakewell tarts 😂 #gbbo	anger	0.375
2017-En-10830	@ms_heartattack peanut butter takes away the [Name]	anger	0.188
2017-En-10178	can someone make me a priority list of which things i should be outraged at + in which order? #racism #animalrights #abortion #cops	anger	0.646
2017-En-10046	some mexican ladies irritate the fuck outta me. have a their own lil preschool of fucking kids for the welfare & allllat smh.	anger	0.771
2017-En-10904	#oow16 #sting decent new song	anger	0.125
2017-En-10071	where's your outrage when a black man kills another black man in the streets?	anger	0.750
2017-En-10039	so #angry about my @wishshopping order. 6 #months ago i placed an order of over $ 500. card billed. never #received \ n #disappointing	anger	0.771
2017-En-11019	@sopandeb @johnrobertsfox @azizansari let's not stereotype all south asians as relentless beat reporters.	anger	0.562
2017-En-10180	you a fuck boy if you run drag routes back to back in madden	anger	0.646
2017-En-41097	@broadly you should be criminalized for posting a pic of that [Name] frown... get a pic of some [Name],or cookies,or diesel,join up @cnn_ai	anger	0.562
2017-En-11676	ya girl is	anger	0.146
2017-En-10333	@sapientsoldier timid but determined version of the rabid beasts beyond the land. growling beneath my restrained breath,i / / rip / / myself - -	anger	0.542
2017-En-10767	@charlottebnntt that's the joke. i know it's incense	anger	0.222
2017-En-10552	realizing that holding a grudge for long is immaturity is wisdom	anger	0.438
2017-En-10989	star trek online has a update to download oh fuming [Name]	anger	0.479
2017-En-10684	@lisaasquithtobe @craig8710 @waynehaselden @june65wigan [Name] is against wigan because we are the biggest club	anger	0.354
2017-En-10768	leveled at the half. much better offense expected in the second half	anger	0.182
2017-En-10449	hey folks sorry if anything offensive got posted on here yesterday my account got hacked. all fixed now though. i hope :-/ #angry #annoyed	anger	0.479
2017-En-11395	the medicine is burning me	anger	0.396
2017-En-11511	how on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder #offended	anger	0.854
2017-En-10863	i think @sam_canaday & @kylejdowson must actually have to be working like me & @dowson_brady because i havent got any snap chat videos today	anger	0.250
2017-En-11624	interesting that we,an authentic afghan restaurant,r getting calls from the media over resent tragedy that happened in nj @latimes @nbcnews	anger	0.438
2017-En-11345	@dak2future decorations are up all over jersey already	anger	0.208
2017-En-10747	anger is cheap and politeness is expensive. don't expect everybody to be polite. #thoughtfulthursday #anger #politeness	anger	0.312
2017-En-10517	finding out my two best fwendz are going to rage with me at @lifeisbeautiful makes this last week of no sleep extra worth it	anger	0.438
2017-En-10888	the rage has died down.	anger	0.438
2017-En-10948	@virginmedia i've been disconnected whilst on holiday 😤 but i don't move house until the 1st october 🤔 #furious	anger	0.625
2017-En-10101	the majority of people irritate the fuck out of me,cba with people ahahah	anger	0.862
2017-En-10680	@perfectquartz she's jogging a bit to stay beside their,puffing their cheeks with a huff each time. ' oh - - jeez [Name],why don't you —	anger	0.375
2017-En-10175	forgot to eat dinner and now i'm furious with everything and [Name]	anger	0.646
2017-En-11239	#gbbo is such a homely pure piece of tv gold. channel 4 will attempt to tart it up. [Name],[Name] and [Name] gone. it's over. i'm out. 👋	anger	0.396
2017-En-10168	@bt_uk why does tracking show my equipment delivered,when it wasn't? why is my service suddenly delayed? we've already 3 weeks.	anger	0.646
2017-En-10375	@cc_yandian @hillaryclinton their team must draw from a hat for daily personality #drugged #yeller #quiet #screamer # 😂 😂	anger	0.521
2017-En-11438	@victoriarghhh not mad but tilting? slightly irate? is that cool?	anger	0.458
2017-En-11276	@bickley_marotta yea because forcing 5 turnovers and holding a pretty good offense to 7 points is concerning... oh wait. no!!	anger	0.375
2017-En-41184	dentist just said to me ' i'm going to numb your front lip up so it'll feel as if you've got lips like [Name] [Name]!... they was right #pout	anger	0.375
2017-En-10252	@lemonlover666 ' shit ' doesn't even begin to describe these fiery little demons straight from [Name] 🌝 🌚 ;)	anger	0.583
2017-En-11469	@smalloy_lwos that's not easy to blow up the lt on a run play. they created the seam for [Name] to burst through	anger	0.337
2017-En-11460	in inter-group relationships,#anger makes people think in more negative and prejudiced terms about outsiders.	anger	0.408
2017-En-10311	@deadspin @jrzy_boy this is about them being left off because they wanted to play a heavier game. we needed their offense tho. amongst others.	anger	0.542
2017-En-11415	i'm furious!!!	anger	0.833
2017-En-10091	now that the whole clown rage has scared me shitless,i'm gonna go cry in my room	anger	0.729
2017-En-11103	@inthefade going back to blissful ignorance?! #fury	anger	0.583
2017-En-10690	- - haired man strides close and watches as the major flinches away from them,the reaction draws a growl from their throat. - - ( @dochquinzel )	anger	0.322
2017-En-11687	@1beartruth standard bitter response... how's it feel to be the small club in a big city	anger	0.396
2017-En-10347	@alanafergusson snap meee	anger	0.521
2017-En-10692	sorry to burst your bubble but it isn't that century anymore. welcome to the 21st century.	anger	0.354
2017-En-11364	@shod_jpg aye man they was fuming xo	anger	0.500
2017-En-10454	@laratheirish < feel everything. they would remember everything. [Name] hoped this would serve to fuel the creatures anger and run rabid >	anger	0.479
2017-En-11095	instagram seriously sort your sh * t out. i spent ages writing that caption for you to delete it and not post it!! #instagram	anger	0.708
2017-En-11589	just waggled my eyebrows up and down at the baby and they burst out laughing i love their haha	anger	0.032
2017-En-11434	@radiatezen that's true,it does go both ways. but i've been on the receiving end of a vegans wrath! lol! i personally wouldn't condemn	anger	0.417
2017-En-11245	argh a big wasp buzzing between my blinds and my window. halp! #wasp #evil #buzz	anger	0.542
2017-En-40360	someone needs to tell [Name] she'll be stuck with that shitty pout if the wind changes. #gbbo	anger	0.688
2017-En-10911	having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy #emotionalrollercoaster	anger	0.354
2017-En-10128	@ggreenwald smh,remove ideologically bankrupt and opportunistic establishment now. they're burning all bridges and social contracts. #anger	anger	0.688
2017-En-11594	changed my clothes at work and had my pre-workout.. in route to the gym and there is traffic all over - pre workout kicking in..	anger	0.418
2017-En-10996	bored rn leave kik / snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat #snap #country #countrygirl	anger	0.375
2017-En-11686	so fucking mad my blood boiling.	anger	0.875
2017-En-10307	... flat party and i instantly get bollocked about it.	anger	0.542
2017-En-10556	@billburr directtv is the best. apparently you just sit in silent anger. ' don't press or say anything '	anger	0.417
2017-En-11454	@grace_thomas473 you keep talkin shit and trying to offend me but you're just petty as fuck	anger	0.646
2017-En-10921	@maddenfreestyle i turn the game on wanting to play madden,and before i load up a game i just turn it off now.	anger	0.500
2017-En-10304	. @repdelbene: ' today's proceedings and the entire process is an insult to our constituents. '	anger	0.593
2017-En-11363	[Name] hath no fury like a late twenty something dude who's concur for government session keeps expiring before they can submit a form	anger	0.479
2017-En-10278	i have so much hw tonight im offended	anger	0.519
2017-En-11655	but if you wish to live bitter because your guilty conscience made you think it applied to you as well then that's on you,i'm not sorry 💁 🏻 😊	anger	0.375
2017-En-11452	think of #anger as this barrier between you and your truth. ' @laurascoe	anger	0.438
2017-En-11668	@strangefacesla why doesn't this account follow me	anger	0.312
2017-En-11700	i've got a lot of tokens saved up and i wanna spam the event song but my eyes [Name] im so tired	anger	0.417
2017-En-11616	that last #madden commercial 😆 😆 😆 #tnf	anger	0.146
2017-En-10037	@sunandbeachbum ' you people ' infuriate me!	anger	0.792
2017-En-10894	i live and die for mchanzo honeymoon crashing and burning the second they move in together	anger	0.479
2017-En-10011	wont use using @mothercareuk @mothercarehelp again!! these guys cant get nothing right!! #fuming	anger	0.854
2017-En-10529	it's weird because i was discussing sex resentment and confusion in the thing i was writing last night.	anger	0.438
2017-En-10558	@kingcharles9th i [Name] forgot you had twitter and if you don't follow me back im gonna be	anger	0.417
2017-En-10566	@deltadomain @sawdraze @qurions dis dat nigga from fume right?	anger	0.417
2017-En-10177	@sebbyd27850 both are nonsensical. if there's injustice against blacks,why add to it by destroying black property. it's misdirected anger	anger	0.690
2017-En-10095	that's really it for my madden career that game sucks,ea sports does a piss poor job every year on that shit	anger	0.867
2017-En-10885	i wouldn't have #anger issues... if they didn't have #lying issues... think about that one. #pow #lies #confusion	anger	0.500
2017-En-11211	@tony_tr3 i'd say your outrage is the really faux outrage.	anger	0.479
2017-En-10383	yet we still have deaths,road rage,& violations on the road,despite a widely accepted concept of ' personal accountability ' while driving	anger	0.521
2017-En-11230	way towards be prominent if your exasperate is peaked?: tgmbnquee	anger	0.375
2017-En-11003	@readingfc @eflcup - remind them ' twenty's plenty '!	anger	0.250
2017-En-10274	hitting your [Name] as discipline because you're being quite a raging hypocrite if you're not.	anger	0.562
2017-En-11475	@bitchesthecat look at those teef! #growl	anger	0.333
2017-En-10575	nahhhhhh @konanplaydirty snap story has got me bussing up 😂 😂 😂	anger	0.417
2017-En-10813	the most important thing to #bestrong is to hold your #thoughts	anger	0.147
2017-En-21440	i think i must scare my coworkers when i'm eating like a rabid animal on my breaks #srry	anger	0.500
2017-En-11096	[Name] supports reach another level of irritation within me	anger	0.688
2017-En-11554	honestly fuming	anger	0.906
2017-En-10467	so i wished my sis 12 midnight but received no reply from their. my 2nd sis just wished their,got a reply. you know who's the fav	anger	0.479
2017-En-10420	#india will take #revenge by making 3 new movies like #phantom and they will be like #ghus_k_maren_ge this is how indian army take revenge	anger	0.500
2017-En-10411	@jasonmillerindc @realdonaldtrump prudence suggests that a 8 + % bump over 2-3 weeks should be viewed with skepticism. media / hrc axis	anger	0.500
2017-En-11091	the patriots have the lamest color rush jerseys in the whole nfl #madden ( i hope they wear them tonight )	anger	0.396
2017-En-11153	having one of those #angry days. i will have to stop watching #news.	anger	0.625
2017-En-11480	@toucherandrich there was a us diver named steele [Name]. i'd like them barred from the olympics.	anger	0.354
2017-En-11193	do not be angry with [Name] because you do not get what you want,for [Name] gives most when you expect least.	anger	0.289
2017-En-10846	@eaglegiles23 @tgilmore_92 what i miss?	anger	0.146
2017-En-10777	😳 the intensity that @sydneyswans play at is extraordinary #relentless #aflcatsswans #aflfinals 🏉 👏 🏿	anger	0.292
2017-En-10515	@ostinong yuuuhh 🙄 😭 plus clin ep and prevmed ugghhh hahaha	anger	0.438
2017-En-11186	@tedleitner @jesseagler you two are ten times more interesting than those particular afternoon goofballs ( i could say worse ).	anger	0.255
2017-En-40286	@jacqueline_69 haha! they did well today. i can't get beyond their pout annoying me i'm afraid.	anger	0.458
2017-En-10908	@reluctantnicko don't ask,you don't get. apologies if i've offended you. all due respect [Name],i think you've been fed duff info.	anger	0.427
2017-En-11011	@nahtewilly @afp that was neither intelligent,definitive or useful shall i name call or would you like to expand on how i have offend you?	anger	0.458
2017-En-11179	manchester derby at home #revenge	anger	0.211
2017-En-10943	this game has pissed me off more than any other game this year. my blood is boiling! time to turn it off! #stlcards	anger	0.898
2017-En-20710	my alarm clock was ringing this morning n my flatmate knocked on my door and asked if i set anything on fire or if i'm burning alive :) :) :)	anger	0.354
2017-En-10608	@riotzxvl papercuts [Name] and stub ur toe last for like 10 secs	anger	0.396
2017-En-10745	@realjeffsdomain wolfpack theme and trons and [Name] wore the wolf shirt	anger	0.312
2017-En-10186	@ronmexico760 the guy who calls people ' cuck ' and is anti-blm is offended by idea that they might not be pro-policing reform? that's amazing.	anger	0.625
2017-En-11174	@thehill no wonder usa is going to shit with such outrage over a simple analogy.	anger	0.542
2017-En-11627	@apple thanks for ios 10 update,even the best app @telegram freezing and crashing on se. #angry	anger	0.845
2017-En-10927	[Name] is just too damn earnest for early morning listening.	anger	0.370
2017-En-10261	@lynnew69 then they said talking about wills uncontrollable animals when moving to another link. these comments do not help!	anger	0.583
2017-En-11682	like they really just fucking asked me that.	anger	0.764
2017-En-10738	@stutteringgiant at least their character in fast and furious pumped some adrenaline into the franchise. but that's about it	anger	0.333
2017-En-11082	@mattstottwrites for me not so much outrage as ‘ oh,using female body to sell something,again ’	anger	0.542
2017-En-11685	@robert7019 @itzamadhouse @skyler12388 \ r \ ralso celebrate their belief that [Name] is alive in [Name],boiling in a pot of shit ( actual shit )	anger	0.562
2017-En-10917	i think our defense here at usc is playing well,we just need to fix a few things on offense and we can win the pac 12 this year '	anger	0.250
2017-En-11257	will give #sleepnumber another chance for customer service. today's growl is 15 + minutes on hold. overall bed + service = very unimpressive.	anger	0.533
2017-En-10634	i have a rage rage ep 2 coming out soon i'll keep you posted on it #youtube #youtubegaming	anger	0.422
2017-En-10538	can't believe i've only got 2 days off left 🙄 #backtoreality	anger	0.438
2017-En-10463	be chill af if you want to offend someone.	anger	0.479
2017-En-11658	can we get a shot of [Name] face at 1/4 time? pretty sure it would be more red then their hair #pretendinghesok #ruok #aflcatsswans	anger	0.438
2017-En-10702	i love that tay & tiff are just sitting at my house while i'm at work 🙃	anger	0.354
2017-En-10496	@hillaryclinton yeah u [Name] make them heel. i know u need their votes so u have to wait. but when u lose-they're really in for your wrath!	anger	0.458
2017-En-11241	@mikeburke91 @ap i guess. it's just heartbreaking the ease with which they can kill an innocent man and get away with it. #indignation	anger	0.625
2017-En-11447	a persons opinion doesn't offend me at all	anger	0.354
2017-En-10004	don't join @btcare they put the phone down on you,talk over you and are rude. taking money out of my acc willynilly! #fuming	anger	0.896
2017-En-11093	forgiveness might make us look weak,but the weakest person is the one who holds anger,hatred,and revenge.	anger	0.333
2017-En-11133	@jagtron1 blacks are good at provoke them selfs blaming on white when black cops shooting blacks	anger	0.625
2017-En-11228	@alexis_maxwell #bitter hahaha just kidding. its crazy tho	anger	0.417
2017-En-10999	@easyjet hi folks. flight is going to be over an hour late departing from inv ( ezy 864 ),how do we go about getting a refund please?	anger	0.625
2017-En-11007	after what just happened. in need to smoke. #burning	anger	0.688
2017-En-30497	never make a #decision when you're #angry and never make a #promise when you're #happy. #wisewords	anger	0.333
2017-En-10445	@trendykittykat some people would rather hang on to their indignant anger. * weary sigh *	anger	0.479
2017-En-10355	@puselepuru it's the irritation of not having found the corpse	anger	0.500
2017-En-11297	the side effects of #fighting and #disrespect.. comes #ignoring the person and show you #don'tcare at all!! #sweet.	anger	0.521
2017-En-10222	@judy_that im honestly offended	anger	0.604
2017-En-10591	i offend u	anger	0.417
2017-En-10573	@tdsnation i blame how broken madden is this year	anger	0.417
2017-En-10189	all [Name] is breaking loose in [Name]. #charlotteprotest #looting	anger	0.625
2017-En-11217	they began to squirm beneath @hcllbent,struggling to get out of their relentless grasp. when they realized that the attempt was useless,+ +	anger	0.438
2017-En-11439	i love when people say they aren't racist right before they say some racist shit... not how that works... #fuming	anger	0.792
2017-En-10327	connivers blind to existential fury	anger	0.542
2017-En-10263	@carefreeash_ id be fuming	anger	0.583
2017-En-10223	[Name] is one of the worst players in bb history #bb18 #bbfinale #bitter	anger	0.604
2017-En-11538	@jaredwyand maybe if it was transgender the media would cover it #outrage	anger	0.604
2017-En-11552	@dp3520 lol they are madden tubers u dont know nothing bout madden cuz id smash on you	anger	0.542
2017-En-11249	so excited to watch @rupaulsdragrace #allstars \ n #rupaul #revenge	anger	0.167
2017-En-10173	@vandashnessa @taotao_salupa5 nobody in that street burning and looting and terrifying innocent citizens was there,either.	anger	0.556
2017-En-11425	the world drives whoever it has assessed as tenderhearted or vulnerable to build up their guards & invigorate raging self defense mechanisms	anger	0.529
2017-En-11692	@kylemuir17 @ealvarezfight @danawhite @thenotoriousmma he'll defend their belt against aldo after its not that hard u grudge holding bitch	anger	0.708
2017-En-10329	#firsttweetever sippin #hotchocolate wondering #why i finally gave in <3 haha #hellloooootwitter -... its because #facebookisforfamily #rage	anger	0.542
2017-En-11191	@katherinearabis it ’ s taken for granted,while the misogyny in the air is treated as normal — and any angry response to it as pathological.	anger	0.438
2017-En-11464	@blewberry02cp content updates provoke that income.	anger	0.333
2017-En-11207	#charlotteriots #passion? or #anger act of violence. \ nif mourning for those who have past away,#stayhome #whyout	anger	0.562
2017-En-10326	i am #real #sjw,i will not let #america down \ ni have found us,now go and get us \ ni let it out and i let it in \ ni #rage i #lol \ n @sergiosarzedo	anger	0.542
2017-En-11175	@fixindk @revoltrazor @dragons1015 guys don't use that type of language. save it for raging...	anger	0.458
2017-En-11362	lol i have reminders for my ex-gf's birthday approaching. too bad they considers me acknowledging their existence an affront...	anger	0.583
2017-En-10137	to'why can't we brothers protect one another? no one's serious,and it makes me furious. don't be misled,just think of [Name]. ' #mayfield	anger	0.578
2017-En-10574	@mmasoccerfan @outmagazine no offense but the only way this makes sense is if you work for the magazine. otherwise,who are you apologizing 4	anger	0.417
2017-En-41192	@jamiesmart huh! it's always my fault isn't it >:( #huff #sulk	anger	0.562
2017-En-10695	sometimes the best motivations come from ' proving them wrong ' #energy #relentless #motivationalquotes	anger	0.354
2017-En-11467	is there a perfume that smells like the smell of smokey incense because i would be all about that	anger	0.096
2017-En-11564	🏆 #success is the best #revenge. whatever you're thinking about doing... do something better. ⭐ ️ ⭐ ️ ⭐ ️ ⭐ ️	anger	0.250
2017-En-10476	@aarongoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone	anger	0.458
2017-En-11473	@saraluvvxxx: whaaaat?!? oh [Name] no. i was jealous because you got paid to fuck,but this is a whole new level. #love #conflicted 😬	anger	0.604
2017-En-11689	@ashitanojoe55 i m not a big fan of @mkatju,but what i found logical and right.. i support that... no offense to anyone	anger	0.438
2017-En-10715	when you forget to mention you were bought dreamboys tickets 🙄 😂	anger	0.354
2017-En-11203	@douglas_nat @one11north i need it today! do u know how many fuckin french plaits i had to do this morn with a stroppy 9 yr old! #rage	anger	0.896
2017-En-10492	the teams that face barca and bayern after a defeat are the ones who face the wrath	anger	0.458
2017-En-10332	@swagalini [Name] been through the denial and anger i am in pure acceptance	anger	0.491
2017-En-11132	my irritation level is at an all time high today 🙃	anger	0.750
2017-En-11338	if i don't answer your 50 texts pls don't snap me	anger	0.333
2017-En-11296	the side effects of #fighting and #disrespect.. comes #ignoring the person and show you #don'tcare at all!! #sweet #revenge.	anger	0.604
2017-En-11563	@natalie_bloomer you interviewed one irate group,two filmmakers who don't live here and got stock statements. that's not journalism.	anger	0.562
2017-En-10048	i blame the whole season on [Name]! the season would have been so different had they not turned their back on their alliance! #pissed #bitter	anger	0.771
2017-En-10718	@shieldscap < [Name] between their feet,feeling a blush [Name] their cheeks. ' i can undress myself,thank you very much,' they snapped >	anger	0.333
2017-En-10987	yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. rarely is it that hard to tell the difference	anger	0.792
2017-En-10729	@kodieburch yesss.. apparently you've been popular on snap 🙄	anger	0.333
2017-En-11528	losing the will 2 live with @virginmedia business bb gone down on hold for 23 minutes & whoever picked up cut me off #noworkforme	anger	0.542
2017-En-11264	i asked [Name] to marry me and they said no. #offended	anger	0.562
2017-En-10006	when you've still got a whole season of [Name] to watch and a stupid cunt in work ruins it for us 😭 😭 @__kirstyga #raging #oldcunt	anger	0.875
2017-En-11535	@washingtonpost #trump's #fear & #anger are similar to what #hitler preached to come to power in germany. wake up america!!	anger	0.708
2017-En-11196	yeah i'm hot nigga,they say im burning uhhhhh	anger	0.509
2017-En-10925	anger,resentment,and hatred are the destroyer of your fortune today. '	anger	0.375
2017-En-10458	significantly,with a #bitter smile,' let me	anger	0.479
2017-En-11399	just found out tonight my son will not be doing practical work counting towards their gcse exam. ok then! i thought stem was all the rage??	anger	0.562
2017-En-10861	sometimes i get mad over something so minuscule i try to ruin somebodies life not like lose your job like get you into federal prison	anger	0.708
2017-En-10760	tiangong 1,china's first space laboratory,will come to a fiery end in late 2017. the average decommissioned satellite either [Name]...	anger	0.312
2017-En-10915	@realjameswoods @kennycoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #whitehouse	anger	0.667
2017-En-10942	@corningfootball it's game day!!! t minus 14:30 #relentless	anger	0.144
2017-En-10880	@trueaggiefan oh so that's where [Name] was! where was my invite? #offended	anger	0.417
2017-En-11060	be quick to #listen,slow to #speak,and slow to #anger.	anger	0.292
2017-En-10584	seeing #ripshawtylo got me thinking bout other rappers then i thought about @liltunechi dying,and burst into tears... smh	anger	0.417
2017-En-10542	@sophiejulia @calebatchipotle @calebpressleyxo relentless pipe thirst #sheltered	anger	0.438
